SCHEME NAME,CATEGORY,DETAILS,BENEFITS,ELIGIBILITY,GENDER,AGE,RESIDENTIAL STATUS,CASTE AND COMMUNITIES,DISABILITY STATUS,ORPHAN,OCCUPATION,ANNUAL INCOME,EDUCATION LEVEL,MARITAL STATUS,DOCUMENTS REQUIRED
Post-Doctoral Fellows,"Fellowship, Opportunity, PhD, Researchers","The Post-Doctoral Fellowship (PDF) at the Physical Research Laboratory (PRL) is an initiative to support researchers who have completed or are nearing the completion of their Ph.D. in science or engineering fields. The fellowship offers candidates the opportunity to pursue research in PRL’s cutting-edge science and engineering research areas. The tenure of the fellowship is for a maximum of two years, subject to annual progress reviews. The fellowship provides a competitive stipend, research opportunities, and accommodation benefits.","Fellowship: Monthly stipend based on the academic status of the fellow:, ₹58,000/- for candidates who have submitted their Ph.D. thesis but await the degree., ₹61,000/- for candidates holding a Ph.D. degree., ₹67,000/- for external applicants with a Ph.D. and at least two years of research experience., Academic Allowance: One-time academic allowance of ₹ 10,000/- during the fellowship., Accommodation: Fellows may receive PRL accommodation or HRA in lieu of accommodation as per PRL norms.","The applicant should complete a Bachelor’s and master’s degrees in science or engineering with first-class (60%) or equivalent grades at both levels., The applicant’s age should be 35 years.","Male, Female, Others",35,,,,,,,"Undergraduate,Postgraduate",,"Passport-size Photograph., Ph.D. Thesis Abstract., List of Publications., Research Proposal (maximum of 2000 words)., Detailed Bio-data (details of educational qualifications, age, work experience)., Recommendation Letters from Referees., No Objection Certificate (for employed candidates)."
Post Office Monthly Income Scheme,Investment,"Post Office Monthly Income Scheme (POMIS) is an investment scheme recognized and validated by the Ministry of Finance. It is one of the highest-earning schemes with an interest rate of 6.6%. The interest in this scheme is disbursed monthly. After opening a POMIS account, individuals can invest a suitable amount based on affordability, which, however, should not be less than ₹1500. It provides low risk and steady income where an investor can deposit every month and get interested of MIS in the post office according to their applicable monthly rate. The income on investment is given by the concerned post office every month.","Capital Protection- As the Government backs it, the return is safe., Low-risk Investment- Post office monthly income schemes online have no risk involved in market capitalization., Lock-in Period- A minimum of 5 years is the lock-in period which can be withdrawn after maturity., Affordable Premium Amount- The premium per month is low compared to other schemes and easily payable., Unbeatable by Inflation- Even during inflation, an investor can get income monthly., Multiple Fund Owners- Multiple owners can own one account as joint holders., Ease of Transaction- The transaction of money, including deposits, and withdrawal is very easy., Good for Risk-averse Investors- Post Office Monthly Income Scheme is the best scheme for risk-averse investors who wants monthly income. It is favorable for those looking for long-term investment and regular income. For senior citizens, it is the best plan.","The applicant must be a citizen of India., The applicant must be residing in India., The applicant should be at least 18 years old.","Male, Female, Others",>=18,,,,,,,,,"Proof of Identity: Copy of government issued ID such as Passport / Voter ID card / Driving License/Aadhaar, etc., Proof of Address: Government-issued ID or recent utility bills., Passport size photographs"
Post Matric Scholarship Students With Disabilities,"Degree, Diploma, Graduation, Persons With Disability, Post-Graduation, Post-Matric, Scholarship, Student, Scholarship","A scholarship scheme by DoEPwD for students with disabilities pursuing a post-matric qualification from UGC/AICTE recognized universities, i.e. students of Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma.","Group 1: All Bachelor’s/Post-Graduate Degree Courses in Medicine, Engineering/Technology, Planning/Architecture, Fashion Technology, Management, Business/Finance Administration, Computer Science/Applications, Agriculture, Veterinary and Allied Sciences; Hostellers – 1600; Day Scholars – 750, Group 2: Professional Courses leading to Degree / Diploma, Certificate in areas like Pharmacy (B.Pharma), LLB, BFS, other para-medical branches like Rehabilitation, Diagnostics etc., Mass Communication, Hotel Management & Catering, Travel/Tourism/Hospitality, Interior Decoration, Nutrition & Dietetics, Commercial Art, Financial Services (e.g. Banking Insurance, Taxation etc.); Hostellers – 1100; Day Scholars – 700, Group 3: All other courses leading to a Graduate Degree not covered under Group 1 and 2, e.g. BA/B.Sc/B.Com etc. Hostellers – 950; Day Scholars – 650, Group 4: All Post-Matriculation Level Non-Degree courses for which entrance qualification is High School (Class 10th), e.g. Senior Secondary Certificate (Class 11th and 12th), both general and vocational stream, ITI courses, 3-year diploma courses in Polytechnics etc. Hostellers – 900; Day Scholars – 550, Disability Allowances (₹/Annum):, Visually Impaired – 4000., Hearing Impaired – 2000., Physically Disabled (OH) – 2000., Intellectual Disabilities – 4000., All other types of disability not covered above – 2000., Book Allowance: ₹1500/- per annum.","The applicant must be a student., The applicant must be pursuing a post-matric qualification, i.e. Class 11th, Class 12th, including Polytechnics, Post-Matriculation Diploma/Certificates and Bachelor’s Degree/Diploma in India and Master’s Degree/Diploma., The applicant must be disabled, with disability percentage of 40% or above., The Total Annual income of parents/guardians of the applicant (from all sources) must not exceed ₹ 2.50 Lakh per Annum., The applicant must not be availing any other scholarship by the govt., The applicant must not be the third sibling of the family who has been given this scholarship.","Male, Female, Others",,,,Yes,,Student,<250000,"school,undergraduate,postgraduate",,"Photograph., Proof of Age., Certificate of Disability (Rights of Persons with Disabilities Act 2016)., Income Certificate., Tuition Fee Receipt., Last academic qualification certificate., Bank Details of the applicant or of the Parent/Guardian."
Post Matric Scholarship For Minorities,"Education, Minority, Post-Matric, Scholarship, Student, Education, Scholarship","A scholarship scheme by Ministry of Minority Affairs for students from minority communities pursuing a post-matric course from a notified institution in India in a government or private school, including such residential Government institutes and eligible private institutes selected and notified in a transparent manner by the State Government and Union Territory Administration concerned.","Admission and tuition fee (both Hosteller & Day Scholar):, For Class 11th & 12th: Rs. 7,000/- per annum, For technical and vocational courses of level of Class 11th & 12th (more than 1 year in duration): Rs. 10,000/- per annum, For UG & PG level: Rs. 3,000/- per annum, Maintenance Allowance:, For Class 11th and Class 12th including Tech. & Voca. Course: Rs. 380/- pm for Hosteller; Rs. 230/- pm for Day Scholar., For Courses other than technical and vocational courses at UG & PG level: Rs. 570/- pm for Hosteller & Rs. 300/- pm for Day Scholar., For M.Phil & Ph.D.: Rs. 1,200/- pm for Hosteller & Rs. 550/-pm for Day Scholar.","The applicant must be pursuing a post-matric qualification., The applicant must be from a Minority Community., The Annual income of parents/guardians of the applicant (from all sources) should be less than or equal to ₹ 2,00,000/- per annum., The applicant must not be availing any other scholarship by the govt., The applicant must not be the third sibling in his/her family who has been given this scholarship.","Male, Female, Others",,,Minority,,,,<200000,Post matric,,"Student’s Photo., Institution Verification Form. (Refer source for format), Income Certificate, issued from a Competent Authority in the State/UT Govts is required in respect of parent/guardian of the student. (Refer source for format), Self-Declaration of Minority Community (Refer source for format), Self-attested Mark Sheet of the last qualifying exam., Fee Receipt of ‘Current Course Year’., Bank Details (Account No., IFSC Code) of the applicant or Bank Details of the Parent/Guardian. (if the student does not have his/her own bank account)., Residential / Domicile Certificate., Aadhaar Number (or alternative identification documents), “Bonafide Student Certificate” from the institute (if the institute is located in a State/UT different from domicile State/UT), Declaration of the Student (Refer source for format)"
Post Graduate Scholarship for GATE/GPAT Qualified Students for Pursuing M.Tech/M.E./M.Pharm-UGC,"GATE, GPAT, Post Graduate, Scholarship, Student, UGC, Scholarship",University Grants Commission is implementing the scheme of Post Graduate Scholarship for GATE/GPAT Qualified Students for Pursuing M.Tech/M.E./M.Pharm courses (including integrated dual degree courses).,"The Scholarship under the scheme is ₹12,400/- per month per student.,  An annual contingency of ₹5,000/- will be given to the eligible student.","The GATE/GPAT qualified students who have taken admission in M.E/M.Tech/M.Pharm courses and integrated dual degree programme in Central, State, Deemed, and Private Universities will be provided scholarships by UGC., The students must be admitted as full-time scholars.","Male, Female, Others",,,,,,,,"M.E,M.Tech",,"Copy of Aadhaar Card,  Passport-size Photograph,  Proof of age, Mark Sheets/Grade Cards & Degrees, Copy of GATE/GPAT score card,  Caste certificate, if applicable, Disability certificate, if applicable, Income Certificate, if applicable, Bank account details:, Any other document, if required"
Post Graduate Scholarship Scheme for GATE/GPAT Qualified Students-AICTE,"ICTE, CEED, GATE, GPAT, Post Graduate, Scholarship, Scholarship","The scheme “Post Graduate Scholarship Scheme for GATE/GPAT Qualified Students- AICTE” has been started by the All India Council for Technical Education, Government of India. AICTE in order to ensure the development of technical education in India awards Post Graduate Scholarship of ₹12,400/- per month to full-time GATE/CEED qualified students admitted to AICTE approved post-graduate programs in AICTE approved Institutions/ University Departments as per AICTE approved intake.","Amount of Scholarship:, The Scholarship under the scheme is ₹12,400/- per month per student., Other Entitlements: Students are eligible for the following leaves-, Casual leave: 15 days in an academic year, Medical leave: Maximum of one month (30 days) in an academic year, Maternity leave: Candidates are eligible for maternity/ Paternity leave as per Govt. of India norms issued from time to time at full rates of scholarship etc. once during the tenure of their award. However maximum duration of the scholarship will not be extended in any circumstances., Duration:, The Scholarship is tenable for 24 months or for the duration of the course i.e. from the date of commencement of classes till the date of completion of the classes whichever is lower and is not extendable under any circumstances., Students of final years of dual degree integrated programmes would also be entitled to a PG Scholarship from the 9th semester onwards i.e. only for one year in the final year.","Having a valid GATE/CEED score at the time of admission., Must be admitted as a full-time scholar., Students of final years of dual degree integrated programmes would also be entitled to a PG Scholarship from the 9th semester onwards i.e. only for one year in the final year., Admitted in AICTE approved Institutions/University Departments & AICTE approved programs viz. Master of Engineering, Master of Technology, and Master of Design., Number of PG scholarships is limited to the AICTE-approved intake in the programme in that year. However, in addition to the approved intake, AICTE will provide a PG scholarship to the additional 10% of candidates over and above the approved intake of that course from the EWS category, if the university/ institute has admitted students from Economically Weaker Sections (EWSs) as per MHRD OM F.No.12-4/2019-U1 dated 17th January 2019.","Male, Female, Others",,,,,,,,,,"Copy of Aadhaar Card, 2. Passport-size Photograph, 3. Proof of age, 4. Mark Sheets/Grade Cards & Degrees, 5. Copy of GATE/CEED scorecard, 6. Caste certificate, if applicable, 7. Disability certificate, if applicable, 8. Income Certificate, if applicable, 9. Bank account details:, No-Frill Accounts, Jan Dhan accounts, Bank Accounts having limits on transactions/credits, and joint Accounts are not permitted., Bank accounts should not either be closed or transferred/shifted during the period of course., 10. Any other document, if required."
Pradhan Mantri Gramin Digital Saksharta Abhiyaan,"Digital, Education, Rural Development, Skill, Education, Rural Development","Pradhan Mantri Gramin Digital Saksharta Abhiyaan (PMGDISHA) is a Digital Literacy Scheme by the Ministry of Electronics and Information Technology (MeitY), to make six crore persons in rural areas, across States/UTs, are digitally literate, reaching around 40% of rural households by covering one member from every eligible household.","The Scheme is aimed at empowering the citizens in rural areas by training them to operate computers or digital access devices (like tablets, smartphones, etc.), send and receive e-mails, browse the Internet, access government services, search for information, and undertake digital payment, etc. and hence enable them to use the Information Technology and related applications, especially Digital Payments to actively participate in the process of nation building., On average a target of 200-300 beneficiaries per Gram Panchayat is envisaged. The actual target for the Gram Panchayat would be decided by the District eGovernance Society (DEGs) chaired by the District Magistrate, keeping in view the size of the district, population, local requirements, etc., Attempts shall be made to provide full Digital Literacy to the villages covered under Pradhan Mantri Adarsh Gram Yojana., Setting up of the Training Centres in the identified Districts/ Blocks/ Gram Panchayats., Delivery of content through mobile phones is proposed as a supplementary facility that can be accessed by a large number of neo-IT literates to refresh content learned during the physical training mode.","Target Beneficiaries:, The beneficiary should be Digitally Illiterate, Only one person in a household where none of the family members is digitally literate will be considered., The age of the beneficiary should be between 14 years and 60 years., Priority would be given to:, Non-smartphone users, Antyodaya households, college drop-outs, and Participants of the adult literacy mission., Digitally illiterate school students from class 9th to 12th, provided facility of Computer/ICT Training is not available in their schools., Preference would be given to:, SC, ST, BPL, women, differently-abled persons, and minorities.","Male, Female, Others",14-60,,"SC,ST,BPL",yes,,,,,,"Aadhaar Number, Proof of Age / DOB"
Pradhan Mantri Gram Sadak Yojana,"Road, Rural","With the objective of providing rural connectivity, the Government of India launched the Pradhan Mantri Gram Sadak Yojana (referred to as PMGSY-I hereinafter) on 25th December 2000 to provide all-weather access to eligible unconnected habitations with a population of up to 500(Census 2001) in plain area and 250 and above in Special category States(States of North East, Jammu, and Kashmir, Himachal Pradesh, Uttarakhand), Desert Area as identified by Desert Development Program and 88 selected Backward Districts as identified by the Ministry of Home Affairs/Planning Commission as a strategy for poverty alleviation.","All-weather connection to the hamlets that are least or not connected., 2. Overall Development of the country allows for easy movement of goods and vehicles., 3. There are better employment opportunities for those from villages thanks to road connections.","A region must be a habitation. It cannot be a hamlet or revenue village to be eligible for the Pradhan Mantri Gram Sadak Yojana (PMGSY)., 2. The Central Government describes habitation as a population cluster residing within an area that remains constant over time. Some of the local words used to describe a habitation are:, Majras, Desam, Hamlets, Tolas, Dhanis, 3. The hamlet must have a higher population as per the 2001 Census to be eligible for road connection. The eligible habitations have a population of above 500 persons in plain areas and around 250 persons and above in hilly areas.","Male, Female, Others",,,,,,,,,,"Utilisation Certificate for the funds released earlier, year-wise in the form prescribed., 2. Certificate by the Bank Manager indicating the balance amount on the date of issue of the Certificate and the interest credited., 3. A Certificate regarding the requisite physical completion of works, 4. For all releases after October of a year, production of an Audited Statement of Accounts and a Balance Sheet and related Statements, duly certified by the Chartered Accountant for the accounts of the previous financial year., 5. Outputs of the relevant modules of the OMMAS, duly certified by the SRRDA as being correct and verified by the NRIDA, 6. A certificate from the CEO of SRRDA that Maintenance funds required as per maintenance contracts in force had been spent during the previous financial year. For releases after May of a year, the certificate should also include that 50% of such maintenance fund requirements for the current Financial Year have been released by the State, whereas for releases after November, the certificate should be for 100% of such funds."
Pradhan Mantri Garib Kalyan Package : Insurance Scheme For Health Workers Fighting COVID-19,"COVID-19, Health Workers, Life Insurance","The Pradhan Mantri Garib Kalyan Package: Insurance Scheme for Health Workers Fighting COVID-19 by the Ministry of Health and Family Welfare, Government of India, aims to provide financial protection to health workers combating the COVID-19 pandemic. Under this scheme, an insurance cover of ₹50,00,000/- is provided to healthcare professionals, including doctors, nurses, and other frontline workers. The scheme is implemented by the Department of Health and Family Welfare.","An insurance cover of ₹50,00,000/- will be provided in case of death or permanent disability due to COVID-19.","The applicant must be a healthcare worker, including doctors, nurses, paramedics, and support staff, who is directly involved in COVID-19 duties., The applicant should be a citizen of India., The applicant should have registered under a government health program and be working in a COVID-19-designated hospital or care facility.","Male, Female, Others",,,,,,Healthcare worker,,,,"In case of Accidental loss of life on account of COVID-19 related duty following documents are required:, Claim form duly filled and signed by the nominee/claimant., Identity proof of Deceased (Certified copy), Identity proof of the Claimant (Certified copy), Proof of relationship between the Deceased and the Claimant (Certified copy), Death summary by the Hospital where death occurred (in case death occurred in hospital)(Certified copy)., Death Certificate (in Original), Post-mortem Report (Certified copy), Cancelled Cheque (desirable) (in Original), FIR (Certified copy), Certificate by the Healthcare Institution/ organization/ office that the deceased was an employee of /engaged by the institution and had an accidental loss of life on account of COVID-19 related duty., In case of Loss of life due to COVID-19 following documents are required, Laboratory Report certifying having tested Positive for COVID-19 (in Original or Certified copy), Death summary by the Hospital where death occurred (in case death occurred in hospital) (Certified copy)., Certificate by the Healthcare Institution/ organization/ office that the deceased was an employee of /engaged by the institution and was deployed/drafted for care and may have come in direct contact of the COVID-19 patient. For community health care workers, the Certificate should be from Medical Officer of Primary Health Centre (PHC) that ASHA/ASHA Facilitator was drafted for work related to COVID-19."
Pradhan Mantri Garib Kalyan Anna Yojana,"Anna, Food Grains, Ration, Rice, Wheat",Pradhan Mantri Garib Kalyan Anna Yojana (PM-GKAY) is a scheme as part of Atmanirbhar Bharat to supply free food grains to migrants and poor.,"PMGKAY provides 5 kg of food grain to each family holding a ration card free of cost and the 5 kg of subsidized food grain already offered through the Public Distribution System (PDS)., Wheat has been allocated to 6 States/UTs, - Punjab, Haryana, Rajasthan, Chandigarh, Delhi, and Gujarat, and rice has been provided to the remaining States/UTs.","Families belonging to Antyodaya Anna Yojana (AAY) and Priority Households (PHH) categories will be eligible for the scheme., PHH are to be identified by State Governments/Union Territory Administrations as per criteria evolved by them. AAY families are to be identified by States/UTs as per the criteria prescribed by the Central Government:, Households headed by widows or terminally ill persons or disabled persons or persons aged 60 years or more with no assured means of subsistence or societal support., Widows or terminally ill persons or disabled persons or persons aged 60 years or more or single women or single men with no family or societal support or assured means of subsistence., All primitive tribal households., Landless agriculture labourers, marginal farmers, rural artisans/craftsmen such as potters, tanners, weavers, blacksmiths, carpenters, slum dwellers, and persons earning their livelihood on daily basis in the informal sector like porters, coolies, rickshaw pullers, hand cart pullers, fruit and flower sellers, snake charmers, rag pickers, cobblers, destitutes and other similar categories in both rural and urban areas., All eligible Below Poverty Line families of HIV positive persons",,>=60,,Tribal,yes,,,,,,"Ration Card, Aadhar Card (if seeded with Ration Card)"
Pradhan Mantri Formalisation Of Micro Food Processing Enterprises,"Credit Linked Subsidy, Entrepreneurship, Loan, Entrepreneurship, Subsidy","Launched on 29th June 2020, PMFMPE is a Centrally Sponsored Scheme by the Ministry of Food Processing Industries, designed to address the challenges faced by the micro-enterprises and to tap the potential of groups and cooperatives in supporting the upgradation and formalization of these enterprises.","Support to individuals and groups of micro-enterprises.,  Branding and Marketing support.,  Support for strengthening of institutions., Setting up a robust project management framework.","Farmer Producer Organization (FPO),  Self-Help Groups, Co-operatives, Existing Micro Food Processing Entrepreneurs, New Units, whether for individuals or groups would only be supported for One District One Product (ODOP)","Male, Female, Others",,,,,,,,,,"PAN Card of concern/all promoters, 2. Aadhaar Copy & Photo of all promoters/guarantors, 3. Address Proof:, I. Utility bill, which is not more than two months old of any service provider, (Electricity, telephone, post-paid mobile phone, piped gas, water bill) or, ii. Property or Municipal tax paid receipt or, iii. Ration Card (Individual), 4. Photocopy of Bank Statement/ Bank Passbook for the last 6 months"
Pradhan Mantri Fasal Bima Yojna (PMFBY),"Agriculture, Crop, Farmer, Insurance, Premium, Agriculture","Launched on 18th February 2016, ""Pradhan Mantri Fasal Bima Yojana"" is a crop insurance scheme by the Department of Agriculture, Cooperation and Farmers’ Welfare, Ministry of Agriculture. PMFBY aims to provide financial protection to farmers against crop loss due to natural disasters (hail, drought, famine), pests, and diseases. PMFBY provides crop insurance at a cost-effective premium to all Indian farmers. PMFBY is an affordable crop insurance product implemented through a network of insurance companies and banks. The scheme covers over 50 crore farmers and provides insurance coverage for over 50 different crops.","Affordable Premiums: The maximum premium payable by the farmer will be 2% for the Kharif food and oilseed crops. For rabi food and oilseeds crop, it is 1.5% and for yearly commercial or horticultural crops it will be 5%. The remaining premium is subsidized by the government., * For the farmers in North-Eastern States, Jammu, Kashmir, and Himachal Pradesh, the government also pays the entire premium., Comprehensive Coverage: The scheme covers natural disasters (droughts, floods), pests, and diseases. Post-harvest losses due to local risks like hailstorms and landslides are also included., Timely Compensation: PMFBY aims to process claims within two months of the harvest to ensure that farmers get the compensation quickly, preventing them from falling into debt traps., Technology-Driven Implementation: PMFBY integrates advanced technologies like satellite imaging, drones, and mobile apps for precise estimation of crop loss, ensuring accurate claim settlements.","All farmers, including tenant farmers and sharecroppers growing notified crops in notified areas., Farmers must have an insurable interest in the insured crops., Farmers must possess a valid and authenticated land ownership certificate or a valid land tenure agreement., The farmer must be a cultivator or sharecropper on the insured land., The farmer must apply for insurance coverage within the prescribed time frame, usually within 2 weeks of the start of the sowing season., Farmers must not have received compensation for the same crop loss from any other medium or source.","Male, Female, Others",,,,,,farmer,,,,"Passport–sized Photograph, Passbook, Identity Proof (Aadhaar Card/PAN Card/Voter ID/Bank Passbook with Photo, Kisan Photo Book/NREGA Job Card), Address Proof (Aadhaar Card/PAN Card/Voter ID/Electricity Bill/Bank Passbook with Photo)., Evidence of Land records, as per the State Records of Right (RoR), Land Possession Certificate (LPC), and other applicable agreements, contracts notified or permitted by the state., Declaration about the crop sown/intended to be sown."
Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi (PM-DAKSH),"Economically Weaker Section, Employment, Other Backward Class, Scheduled Caste, Skill, Stipend, Training, Employment","The ""Pradhan Mantri Dakshta Aur Kushalta Sampann Hitgrahi"" (PM-DAKSH) scheme, launched by the Ministry of Social Justice & Empowerment, Government of India in 2020-21, is designed to uplift the marginalized sections of society by offering skill development programs. It targets SCs, OBCs, EWS, DNTs, and Safai Mitras, providing upskilling, reskilling, short-term training, and entrepreneurial development courses. The scheme aims to empower these groups by boosting their skills to improve their employability and income prospects. Training is aligned with the National Skill Qualification Framework (NSQF), and post-training support is provided for employment or self-employment opportunities.","Training free of cost for the trainees, 100% grants by Government., Stipend will be given to trainees during the period of training., Trained candidates will be provided certification after successful completion of training and assessment., Trained candidates will be provided placement after assessment and certification.","Applicant must be an Indian national with valid proof of nationality., Applicant must be aged between 18 and 45 years., Applicant must belong to one of the following groups:, Scheduled Castes (SC);, Other Backward Classes (OBC);, Economically Weaker Sections (EWS);, Denotified & Nomadic Tribes (DNT0, or, Safai Mitras (including Waste Pickers)., Applicant from OBC or EWS must have an annual family income below ₹3,00,000/- ., Applicant from SC, DNT, or Safai Mitras (including Waste Pickers) has no income limit., Applicant must possess a valid Aadhaar card (exemption for the candidates of such States which have not implemented Aadhaar completely)., Applicant must have an Aadhaar-linked bank account., Applicant must register on the Skill India Digital Hub (SIDH).","Male, Female, Others",18-45,,"SC,OBC,EWS,DNT",,,,<300000,,,
Pradhan Mantri Bhartiya Janaushadhi Pariyojana,"Entrepreneur, Generic Drugs, Healthcare, Janaushadhi, Medicine, Pharmaceutical","The scheme ""Pradhan Mantri Bhartiya Janaushadhi Pariyojana (PMBJP)"" was launched by the Department of Pharmaceuticals, Ministry of Chemicals & Fertilizers, in November 2008. The branded (Generic) medicines are sold at significantly higher prices than their un-branded generic equivalents, though are identical in therapeutic value. Given the widespread poverty across the country, making available reasonably priced quality generic medicines in the market would benefit everyone.","Normal Incentive: The incentive provided to the Kendra owners has been enhanced from the existing ₹ 2,50,000/- to up to ₹ 5,00,000/- to be given @ 15% of monthly purchases made, subject to a ceiling of ₹ 15,000/- per month., 2. Special Incentive: A one-time incentive of ₹ 2,00,000/- (in addition to normal incentives) is to be provided for furniture & fixtures and computers & printers to the PMBJP Kendras opened in the North-Eastern States, Himalayan areas, Island territories, and backward areas mentioned as an aspirational district by NITI Aayog or opened by women entrepreneurs, Divyang, SCs& STs., 3. The prices of Janaushadhi medicines are 50%–90% less than those of branded medicines in the open market., 4. Medicines are procured only from World Health Organization-Good Manufacturing Practices (WHO-GMP)-certified suppliers to ensure the quality of the products., 5. Each batch of the drug is tested at laboratories accredited by the ‘National Accreditation Board for Testing and Calibration Laboratories (NABL) to ensure the best quality., 6. The operating agency will be provided a 20% margin on the MRP (excluding taxes) of each drug.","Individual applicants must have a D. Pharma/B. Pharma degree, or he/she has to employ D. Pharma/B. Pharma degree holders and produce proof of the same at the time of submitting applications or at the time of final approval., Any organization or NGO applying for a PMBJK will have to employ B. Pharma / D. Pharma degree holders and produce proof of the same at the time of submitting applications or at the time of final approval., In government hospital premises, including medical colleges, the preferred agencies would be reputed NGOs/Charitable organizations, but individuals would also be eligible.","Male, Female, Others",,,,,,,,medical degree,,"Own space or hired space (minimum 120 sq feet) duly supported by ownership, a proper lease agreement, or a space allotment letter., Proof of securing a pharmacist with name, Registration with the State Council, etc. (or it can be submitted at the time of final approval of JAS), Financial capacity to run the Store supported by valid documents or affidavits for having good financial condition and being ready to invest to run Jan Aushadhi Store smoothly as per requirements., Sale License from Competent Authority (Retail Drug License in the name of the applicant and/or TIN Number), A drug license in the name of “Pradhan Mantri Janaushadhi Kendra”."
Pradhan Mantri Awas Yojana - Urban,"Housing, Loan, Rehabilitation, Sanitation, Urban, Housing","A flagship mission implemented by MoHUA, addressing urban housing shortage. The beneficiaries include Economically Weaker Section (EWS) / Low Income Group (LIG) and Middle Income Group (MIG) categories, including slum dwellers, by ensuring a pucca house to all eligible urban households by 2022. All eligible beneficiaries under all components of the scheme should have an Aadhaar/ Aadhaar Virtual ID. The Mission, as per Census 2011, covers the entire urban area consisting of Statutory Towns, Notified Planning Areas, Development Authorities, Special Area Development Authorities, Industrial Development Authorities or any such authority under State legislation which is entrusted with the functions of urban planning & regulations.","Slum rehabilitation of eligible Slum Dwellers with participation of private developers using land as a resource., Promotion of Affordable Housing through Credit Linked Subsidy Scheme (CLSS). EWS: Annual Household Income up to Rs.3,00,000; house sizes upto 30 sq.m; LIG: Annual Household Income from Rs.3,00,001 to Rs.6,00,000; house sizes upto 60 sq.m; MIG I: Annual Household Income from Rs. 6,00,001 to Rs. 12,00,000; house sizes upto 160 sq.m; MIG II: Annual Household Income from Rs.12,00,001 and 18,00,000; house sizes upto 200 sq.m, Affordable Housing in Partnership with Public & Private sectors: Central Assistance per EWS house in projects where 35% of houses are for EWSs, Subsidy for Beneficiary-Led individual house construction /enhancement: For individuals of EWS category requiring individual house (separate project for such beneficiaries)","The family identifies as one of the following -, a) Economically Weaker Section (EWS): households with annual income up to ₹ 3,00,000., b) Low Income Group (LIG): households with annual income between ₹ 3,00,001 and ₹ 6,00,000., c) Middle Income Group-1 (MIG-1): households with annual income between ₹ 6,00,001 and ₹ 12,00,000., d) Middle Income Group-2 (MIG-2): households with annual income between ₹ 12,00,001 and ₹ 18,00,000., 2. The applicant or his/her family members must not be owning a pucca house in any part of the country., 3. The family must comprise of husband/wife and unmarried children., 4. The town/city in which the family resides must be covered under the scheme., 5. The family MUST NOT have previously availed the benefits of any housing-related schemes set up by the Government of India.",,,,EWS,,,,<300000,,,"Aadhaar Number (or Aadhaar/ Aadhaar Enrolment ID), Self-Certificate / Affidavit as Proof of Income., Identity and Residential Proof (PAN card, Voter ID, Driving License), Proof of Minority Community (if the applicant belongs to a Minority Community), Proof of Nationality, EWS Certificate / LIG Certificate / MIG Certificate (as applicable), Salary Slips, IT Return Statements, Property Valuation Certificate, Bank Details and Account Statement, Affidavit / Proof that the applicant does not own a ‘pucca’ house, Affidavit / Proof that the applicant is constructing a home under the scheme"
